"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00739";0,19;0,999;0,97;0,4;0,61;0,73;0,48;0,5;0,001;0,98;0,001;0,95;0,9;0,999;0,999;0,999;0,999
"sub00489";0,06;0,41;0,69;0,51;0,21;0,52;0,97;0,66;0,51;0,51;0,51;0,5;0,52;0,54;0,68;0,29;0,24
"sub01291";0,49;0,84;0,75;0,999;0,52;0,51;0,68;0,7;0,91;0,84;0,001;0,3;0,62;0,51;0,999;0,29;0,48
"sub01217";0,32;0,56;0,74;0,58;0,65;0,57;0,59;0,61;0,37;0,75;0,6;0,67;0,74;0,46;0,95;0,93;0,97
"sub01410";0,51;0,51;0,49;0,5;0,51;0,74;0,49;0,52;0,12;0,5;0,21;0,999;0,999;0,77;0,999;0,999;0,999
"sub00830";0,73;0,19;0,06;0,95;0,98;0,5;0,49;0,49;0,83;0,58;0,61;0,81;0,08;0,17;0,77;0,77;0,5
"sub00747";0,12;0,29;0,75;0,83;0,16;0,05;0,59;0,77;0,001;0,18;0,04;0,8;0,72;0,79;0,91;0,88;0,999
"sub00616";0,23;0,25;0,23;0,68;0,38;0,44;0,26;0,39;0,88;0,64;0,18;0,65;0,4;0,63;0,56;0,85;0,52
"sub01258";0,29;0,7;0,82;0,78;0,48;0,51;0,59;0,47;0,85;0,56;0,42;0,71;0,5;0,7;0,76;0,5;0,56
"sub00826";0,49;0,27;0,999;0,999;0,88;0,51;0,999;0,999;0,999;0,27;0,17;0,1;0,11;0,12;0,999;0,001;0,001
"sub00661";0,11;0,999;0,999;0,98;0,2;0,32;0,7;0,85;0,86;0,84;0,21;0,1;0,03;0,04;0,72;0,02;0,04
"sub01269";0,001;0,13;0,51;0,999;0,001;0,999;0,999;0,999;0,999;0,51;0,51;0,66;0,5;0,5;0,51;0,999;0,999
"sub01509";0,72;0,78;0,999;0,999;0,85;0,7;0,85;0,64;0,999;0,999;0,77;0,12;0,001;0,75;0,999;0,999;0,999
"sub00166";0,28;0,48;0,33;0,64;0,19;0,85;0,999;0,999;0,999;0,43;0,97;0,49;0,5;0,47;0,46;0,87;0,02
"sub00645";0,33;0,47;0,999;0,33;0,17;0,47;0,48;0,5;0,82;0,67;0,12;0,12;0,001;0,001;0,001;0,02;0,03
"sub00294";0,66;0,39;0,05;0,76;0,91;0,49;0,43;0,34;0,5;0,73;0,39;0,43;0,09;0,25;0,91;0,88;0,87
"sub00487";0,57;0,8;0,54;0,52;0,36;0,3;0,68;0,87;0,65;0,64;0,26;0,68;0,82;0,8;0,8;0,6;0,8
"sub00130";0,01;0,32;0,77;0,12;0,07;0,07;0,1;0,26;0,68;0,32;0,05;0,11;0,04;0,01;0,88;0,001;0,94
"sub01455";0,05;0,58;0,001;0,34;0,51;0,27;0,29;0,28;0,61;0,78;0,001;0,001;0,001;0,001;0,001;0,02;0,01
"sub00816";0,48;0,43;0,17;0,5;0,48;0,35;0,58;0,5;0,6;0,53;0,22;0,52;0,5;0,59;0,86;0,88;0,88
"sub00586";0,51;0,97;0,85;0,98;0,32;0,64;0,5;0,4;0,79;0,82;0,001;0,5;0,5;0,999;0,96;0,73;0,5
"sub00844";0,29;0,06;0,41;0,94;0,34;0,32;0,32;0,28;0,84;0,34;0,08;0,19;0,19;0,17;0,98;0,84;0,87
"sub01185";0,53;0,45;0,07;0,59;0,78;0,55;0,56;0,76;0,93;0,63;0,04;0,999;0,06;0,01;0,999;0,999;0,999
"sub01129";0,24;0,6;0,5;0,69;0,65;0,5;0,999;0,999;0,38;0,59;0,5;0,45;0,59;0,66;0,63;0,21;0,78
"sub00008";0,59;0,24;0,91;0,98;0,5;0,33;0,35;0,87;0,87;0,71;0,52;0,85;0,999;0,999;0,999;0,8;0,999
"sub00088";0,32;0,46;0,77;0,57;0,6;0,56;0,56;0,59;0,82;0,71;0,001;0,12;0,67;0,17;0,74;0,4;0,51
"sub01017";0,77;0,25;0,11;0,4;0,999;0,999;0,999;0,999;0,9;0,36;0,001;0,999;0,57;0,74;0,79;0,37;0,83
"sub00250";0,26;0,46;0,57;0,77;0,5;0,7;0,71;0,77;0,73;0,72;0,23;0,73;0,92;0,86;0,8;0,92;0,98
"sub00439";0,12;0,28;0,19;0,2;0,61;0,17;0,16;0,56;0,63;0,83;0,35;0,001;0,63;0,46;0,001;0,001;0,001
"sub01284";0,98;0,49;0,83;0,94;0,96;0,96;0,96;0,98;0,001;0,51;0,02;0,79;0,1;0,8;0,84;0,86;0,14
"sub00257";0,67;0,91;0,77;0,94;0,95;0,66;0,79;0,86;0,88;0,999;0,001;0,62;0,001;0,54;0,89;0,999;0,91
"sub00940";0,11;0,2;0,999;0,97;0,05;0,08;0,55;0,58;0,09;0,15;0,06;0,06;0,09;0,09;0,82;0,84;0,07
"sub00138";0,15;0,64;0,999;0,62;0,5;0,56;0,79;0,75;0,6;0,71;0,49;0,5;0,29;0,29;0,66;0,56;0,3
"sub01088";0,11;0,58;0,14;0,85;0,17;0,28;0,4;0,18;0,66;0,34;0,07;0,79;0,51;0,33;0,64;0,87;0,49
"sub00003";0,41;0,28;0,68;0,61;0,62;0,999;0,72;0,999;0,66;0,1;0,27;0,49;0,26;0,74;0,999;0,86;0,9
"sub01138";0,23;0,21;0,19;0,42;0,32;0,13;0,61;0,53;0,32;0,25;0,25;0,19;0,62;0,61;0,71;0,22;0,36
"sub01557";0,49;0,61;0,92;0,75;0,79;0,71;0,999;0,93;0,88;0,999;0,19;0,59;0,26;0,33;0,59;0,58;0,69
"sub00517";0,19;0,78;0,1;0,81;0,31;0,04;0,23;0,03;0,48;0,5;0,03;0,73;0,41;0,74;0,98;0,9;0,49
"sub00201";0,001;0,13;0,24;0,64;0,54;0,19;0,57;0,66;0,86;0,999;0,63;0,68;0,68;0,65;0,999;0,91;0,74
"sub00652";0,37;0,06;0,001;0,001;0,4;0,48;0,48;0,51;0,999;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00271";0,15;0,36;0,001;0,1;0,13;0,16;0,999;0,999;0,22;0,68;0,2;0,04;0,001;0,001;0,79;0,001;0,001
"sub00079";0,77;0,84;0,93;0,95;0,82;0,94;0,79;0,81;0,999;0,51;0,05;0,96;0,51;0,17;0,61;0,23;0,02
"sub00332";0,34;0,86;0,34;0,22;0,24;0,66;0,999;0,999;0,999;0,92;0,2;0,86;0,59;0,75;0,999;0,64;0,6
"sub00370";0,999;0,47;0,95;0,51;0,999;0,96;0,98;0,84;0,93;0,5;0,06;0,999;0,83;0,55;0,98;0,96;0,95
"sub01023";0,49;0,86;0,001;0,51;0,5;0,001;0,27;0,45;0,999;0,999;0,33;0,47;0,001;0,001;0,52;0,001;0,13
"sub00845";0,82;0,66;0,9;0,61;0,86;0,51;0,82;0,72;0,999;0,97;0,06;0,83;0,81;0,77;0,999;0,999;0,25
"sub01142";0,37;0,13;0,07;0,76;0,81;0,83;0,79;0,77;0,75;0,5;0,06;0,24;0,001;0,05;0,001;0,12;0,001
"sub00223";0,22;0,61;0,9;0,48;0,12;0,69;0,999;0,999;0,3;0,53;0,001;0,11;0,23;0,33;0,87;0,33;0,49
"sub00423";0,35;0,6;0,67;0,84;0,71;0,37;0,47;0,63;0,09;0,71;0,27;0,44;0,58;0,6;0,7;0,18;0,17
"sub00425";0,16;0,86;0,69;0,5;0,52;0,29;0,57;0,67;0,54;0,65;0,5;0,19;0,19;0,001;0,15;0,2;0,12
"sub00288";0,68;0,001;0,1;0,3;0,88;0,84;0,8;0,94;0,999;0,85;0,81;0,26;0,51;0,87;0,999;0,999;0,999
"sub01080";0,04;0,57;0,05;0,55;0,42;0,21;0,23;0,27;0,15;0,37;0,001;0,001;0,001;0,001;0,7;0,72;0,999
"sub01182";0,57;0,73;0,999;0,999;0,74;0,91;0,999;0,95;0,08;0,999;0,001;0,87;0,54;0,74;0,999;0,999;0,999
"sub00944";0,35;0,3;0,58;0,62;0,48;0,47;0,46;0,52;0,56;0,56;0,42;0,38;0,68;0,69;0,7;0,67;0,67
"sub00481";0,56;0,001;0,06;0,8;0,65;0,75;0,71;0,96;0,87;0,26;0,04;0,83;0,001;0,001;0,86;0,999;0,9
"sub00493";0,35;0,14;0,69;0,69;0,7;0,67;0,74;0,83;0,93;0,71;0,001;0,61;0,001;0,41;0,71;0,67;0,5
"sub01239";0,51;0,73;0,999;0,999;0,54;0,39;0,52;0,53;0,97;0,93;0,07;0,87;0,55;0,8;0,58;0,97;0,999
"sub01436";0,16;0,25;0,01;0,55;0,92;0,51;0,64;0,5;0,51;0,16;0,29;0,56;0,001;0,001;0,84;0,001;0,001
"sub00165";0,61;0,65;0,35;0,66;0,68;0,59;0,63;0,65;0,51;0,8;0,15;0,9;0,57;0,59;0,72;0,93;0,54
"sub01396";0,27;0,52;0,9;0,82;0,79;0,4;0,26;0,65;0,51;0,51;0,02;0,02;0,001;0,23;0,12;0,13;0,06
"sub01050";0,29;0,18;0,17;0,24;0,49;0,32;0,54;0,53;0,85;0,7;0,06;0,07;0,17;0,1;0,5;0,31;0,44
"sub01171";0,52;0,67;0,7;0,75;0,52;0,51;0,52;0,54;0,59;0,75;0,02;0,62;0,56;0,48;0,999;0,999;0,999
"sub00460";0,31;0,45;0,31;0,36;0,22;0,19;0,54;0,57;0,38;0,47;0,2;0,15;0,17;0,79;0,49;0,5;0,15
"sub00440";0,08;0,73;0,12;0,94;0,81;0,43;0,23;0,18;0,999;0,999;0,001;0,001;0,001;0,59;0,13;0,001;0,001
"sub01470";0,15;0,13;0,17;0,43;0,35;0,25;0,3;0,47;0,77;0,28;0,11;0,09;0,08;0,51;0,28;0,16;0,16
"sub00450";0,65;0,09;0,001;0,04;0,87;0,71;0,64;0,78;0,999;0,14;0,001;0,37;0,001;0,001;0,85;0,69;0,67
"sub00776";0,11;0,74;0,9;0,78;0,34;0,56;0,74;0,67;0,61;0,85;0,33;0,4;0,02;0,001;0,77;0,1;0,1
"sub01051";0,42;0,47;0,12;0,61;0,57;0,45;0,53;0,62;0,46;0,51;0,51;0,51;0,14;0,59;0,73;0,47;0,43
"sub00004";0,1;0,79;0,05;0,68;0,27;0,14;0,12;0,1;0,36;0,66;0,06;0,65;0,01;0,01;0,77;0,05;0,02
"sub00834";0,48;0,25;0,51;0,67;0,6;0,54;0,48;0,63;0,8;0,55;0,11;0,17;0,73;0,85;0,86;0,14;0,19
"sub00671";0,06;0,17;0,18;0,15;0,12;0,14;0,16;0,12;0,12;0,13;0,12;0,999;0,53;0,6;0,65;0,65;0,68
"sub00120";0,51;0,2;0,001;0,88;0,76;0,86;0,64;0,34;0,97;0,61;0,11;0,06;0,21;0,68;0,6;0,5;0,49
"sub00098";0,02;0,55;0,65;0,7;0,14;0,001;0,07;0,52;0,65;0,55;0,11;0,01;0,03;0,001;0,01;0,02;0,001
"sub00336";0,62;0,999;0,17;0,51;0,75;0,77;0,77;0,76;0,34;0,5;0,001;0,999;0,19;0,001;0,51;0,999;0,73
"sub00384";0,63;0,63;0,76;0,74;0,83;0,81;0,97;0,999;0,95;0,89;0,58;0,47;0,54;0,54;0,45;0,46;0,39
"sub01016";0,73;0,17;0,26;0,94;0,85;0,9;0,95;0,93;0,87;0,86;0,001;0,04;0,16;0,17;0,72;0,81;0,91
"sub01588";0,58;0,55;0,71;0,65;0,77;0,83;0,57;0,59;0,63;0,55;0,73;0,59;0,66;0,83;0,75;0,63;0,48
"sub01276";0,15;0,71;0,01;0,74;0,04;0,16;0,19;0,68;0,95;0,66;0,58;0,62;0,86;0,86;0,81;0,68;0,97
"sub00883";0,69;0,67;0,43;0,67;0,83;0,87;0,999;0,999;0,29;0,71;0,03;0,55;0,999;0,999;0,999;0,999;0,999
"sub01131";0,59;0,39;0,71;0,87;0,63;0,61;0,7;0,43;0,96;0,69;0,13;0,88;0,94;0,42;0,96;0,97;0,999
"sub00245";0,39;0,7;0,43;0,75;0,37;0,68;0,72;0,79;0,999;0,27;0,17;0,001;0,55;0,001;0,001;0,001;0,001
"sub00334";0,55;0,2;0,001;0,33;0,001;0,78;0,999;0,73;0,999;0,79;0,001;0,001;0,001;0,001;0,999;0,001;0,001
"sub01237";0,19;0,41;0,29;0,25;0,02;0,15;0,76;0,82;0,43;0,67;0,15;0,14;0,25;0,16;0,79;0,1;0,16
"sub01160";0,21;0,36;0,9;0,95;0,22;0,25;0,66;0,87;0,81;0,5;0,12;0,81;0,26;0,68;0,72;0,88;0,97
"sub00469";0,86;0,68;0,11;0,64;0,999;0,999;0,999;0,999;0,999;0,999;0,76;0,999;0,32;0,77;0,999;0,999;0,999
"sub00530";0,02;0,36;0,5;0,72;0,18;0,76;0,48;0,57;0,65;0,15;0,07;0,98;0,97;0,98;0,98;0,98;0,98
"sub01364";0,18;0,72;0,75;0,68;0,55;0,36;0,37;0,4;0,77;0,69;0,08;0,22;0,1;0,18;0,61;0,72;0,56
"sub00948";0,73;0,41;0,11;0,6;0,74;0,69;0,66;0,6;0,69;0,5;0,48;0,4;0,61;0,29;0,81;0,34;0,24
"sub00137";0,09;0,47;0,48;0,32;0,98;0,66;0,67;0,95;0,17;0,67;0,54;0,5;0,5;0,54;0,48;0,23;0,25
"sub00984";0,78;0,38;0,06;0,5;0,75;0,76;0,81;0,75;0,35;0,51;0,3;0,15;0,1;0,15;0,5;0,19;0,11
"sub00033";0,39;0,56;0,6;0,47;0,38;0,58;0,999;0,999;0,95;0,71;0,3;0,12;0,12;0,11;0,81;0,79;0,85
"sub00045";0,06;0,22;0,001;0,15;0,21;0,47;0,15;0,02;0,61;0,41;0,001;0,17;0,01;0,34;0,25;0,12;0,001
"sub00110";0,17;0,3;0,15;0,28;0,61;0,3;0,4;0,32;0,76;0,52;0,001;0,12;0,62;0,55;0,98;0,28;0,5
"sub00015";0,51;0,92;0,88;0,81;0,94;0,9;0,9;0,48;0,66;0,78;0,05;0,55;0,86;0,86;0,91;0,83;0,68
"sub01233";0,001;0,001;0,001;0,09;0,001;0,001;0,01;0,07;0,999;0,51;0,999;0,09;0,001;0,02;0,001;0,001;0,001
"sub00867";0,15;0,04;0,001;0,15;0,17;0,13;0,26;0,23;0,72;0,49;0,001;0,001;0,82;0,001;0,86;0,001;0,001
"sub00765";0,89;0,94;0,49;0,52;0,999;0,98;0,98;0,98;0,999;0,94;0,08;0,14;0,23;0,999;0,999;0,999;0,49
"sub00611";0,07;0,04;0,11;0,1;0,06;0,5;0,72;0,85;0,75;0,54;0,02;0,001;0,92;0,93;0,98;0,01;0,04
"sub00241";0,66;0,87;0,999;0,999;0,77;0,82;0,88;0,69;0,999;0,89;0,001;0,45;0,81;0,999;0,001;0,001;0,001
"sub00809";0,51;0,91;0,96;0,68;0,66;0,5;0,74;0,999;0,79;0,88;0,52;0,51;0,001;0,001;0,001;0,001;0,999
"sub00451";0,16;0,08;0,8;0,86;0,08;0,42;0,25;0,24;0,32;0,32;0,13;0,71;0,55;0,52;0,53;0,74;0,72
"sub00073";0,04;0,11;0,94;0,83;0,03;0,39;0,66;0,54;0,51;0,85;0,31;0,19;0,15;0,7;0,83;0,82;0,95
