"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00143";0,001;0,12;0,001;0,49;0,36;0,58;0,999;0,999;0,62;0,23;0,001;0,001;0,001;0,01;0,001;0,001;0,001
"sub00860";0,8;0,84;0,999;0,89;0,94;0,81;0,999;0,95;0,49;0,79;0,3;0,5;0,7;0,5;0,81;0,87;0,999
"sub00962";0,75;0,08;0,14;0,5;0,72;0,999;0,94;0,49;0,999;0,31;0,22;0,97;0,999;0,999;0,999;0,999;0,999
"sub01314";0,33;0,51;0,16;0,72;0,55;0,49;0,59;0,65;0,57;0,45;0,3;0,18;0,25;0,17;0,4;0,35;0,25
"sub00636";0,7;0,16;0,03;0,43;0,5;0,62;0,61;0,61;0,66;0,51;0,8;0,29;0,76;0,49;0,98;0,51;0,42
"sub00077";0,64;0,36;0,29;0,73;0,38;0,7;0,72;0,88;0,74;0,36;0,08;0,4;0,19;0,25;0,98;0,69;0,73
"sub01379";0,01;0,28;0,82;0,999;0,77;0,37;0,999;0,999;0,6;0,999;0,92;0,83;0,999;0,999;0,999;0,999;0,63
"sub00857";0,7;0,49;0,7;0,91;0,87;0,72;0,999;0,999;0,62;0,61;0,02;0,04;0,89;0,999;0,999;0,58;0,77
"sub00753";0,999;0,51;0,49;0,77;0,999;0,999;0,999;0,999;0,999;0,67;0,001;0,999;0,49;0,62;0,999;0,999;0,999
"sub00991";0,2;0,65;0,49;0,44;0,44;0,36;0,51;0,6;0,96;0,65;0,42;0,16;0,5;0,18;0,8;0,48;0,62
"sub00208";0,27;0,14;0,001;0,76;0,27;0,3;0,42;0,39;0,71;0,68;0,15;0,17;0,15;0,13;0,13;0,2;0,8
"sub00714";0,001;0,39;0,34;0,42;0,001;0,001;0,23;0,29;0,67;0,45;0,001;0,17;0,001;0,001;0,73;0,54;0,48
"sub00631";0,36;0,17;0,19;0,77;0,84;0,87;0,8;0,33;0,83;0,21;0,2;0,2;0,69;0,81;0,8;0,92;0,97
"sub00665";0,46;0,999;0,38;0,7;0,26;0,17;0,6;0,3;0,7;0,4;0,66;0,26;0,24;0,26;0,8;0,08;0,5
"sub00982";0,25;0,65;0,1;0,75;0,15;0,19;0,08;0,15;0,41;0,46;0,17;0,5;0,001;0,001;0,5;0,15;0,49
"sub00447";0,001;0,001;0,12;0,63;0,15;0,16;0,25;0,44;0,2;0,51;0,06;0,06;0,12;0,5;0,68;0,21;0,5
"sub01363";0,21;0,73;0,54;0,6;0,86;0,9;0,999;0,999;0,92;0,7;0,49;0,28;0,49;0,47;0,45;0,45;0,51
"sub00797";0,77;0,59;0,62;0,69;0,67;0,71;0,73;0,7;0,65;0,67;0,001;0,85;0,001;0,38;0,999;0,65;0,38
"sub00119";0,52;0,84;0,5;0,8;0,53;0,74;0,999;0,61;0,999;0,999;0,001;0,61;0,999;0,76;0,999;0,51;0,999
"sub00128";0,72;0,32;0,22;0,75;0,74;0,75;0,83;0,8;0,97;0,97;0,19;0,89;0,18;0,51;0,999;0,999;0,999
"sub01090";0,92;0,24;0,8;0,93;0,91;0,86;0,89;0,77;0,73;0,87;0,1;0,05;0,21;0,23;0,95;0,32;0,19
"sub00593";0,58;0,65;0,69;0,7;0,81;0,68;0,87;0,67;0,79;0,79;0,56;0,45;0,56;0,5;0,75;0,72;0,82
"sub00676";0,81;0,95;0,83;0,87;0,86;0,88;0,91;0,86;0,59;0,74;0,21;0,86;0,97;0,93;0,55;0,94;0,78
"sub00321";0,92;0,49;0,6;0,55;0,88;0,81;0,83;0,77;0,71;0,59;0,29;0,35;0,2;0,08;0,61;0,79;0,54
"sub01333";0,17;0,01;0,28;0,45;0,53;0,19;0,32;0,29;0,02;0,13;0,15;0,12;0,15;0,32;0,1;0,65;0,58
"sub01010";0,35;0,55;0,19;0,98;0,47;0,23;0,999;0,49;0,62;0,58;0,74;0,87;0,78;0,7;0,13;0,999;0,001
"sub01228";0,42;0,56;0,64;0,92;0,4;0,36;0,52;0,69;0,22;0,64;0,19;0,21;0,38;0,25;0,28;0,31;0,7
"sub00642";0,22;0,2;0,15;0,68;0,33;0,46;0,5;0,49;0,47;0,18;0,14;0,07;0,56;0,01;0,66;0,56;0,19
"sub01452";0,67;0,66;0,68;0,9;0,65;0,38;0,49;0,62;0,91;0,71;0,5;0,59;0,75;0,59;0,85;0,93;0,57
"sub00674";0,91;0,5;0,76;0,85;0,82;0,52;0,74;0,51;0,96;0,52;0,56;0,84;0,78;0,51;0,95;0,97;0,999
"sub01262";0,72;0,15;0,001;0,5;0,97;0,6;0,6;0,51;0,58;0,3;0,3;0,07;0,56;0,001;0,999;0,53;0,001
"sub01495";0,11;0,06;0,22;0,57;0,67;0,24;0,28;0,11;0,5;0,07;0,11;0,001;0,66;0,001;0,01;0,01;0,001
"sub00541";0,33;0,51;0,16;0,8;0,75;0,78;0,73;0,999;0,23;0,5;0,19;0,001;0,001;0,001;0,001;0,001;0,001
"sub00484";0,4;0,59;0,62;0,71;0,44;0,46;0,47;0,5;0,23;0,49;0,42;0,38;0,48;0,4;0,57;0,36;0,35
"sub01458";0,001;0,02;0,19;0,76;0,26;0,24;0,93;0,82;0,001;0,33;0,21;0,001;0,09;0,05;0,98;0,09;0,1
"sub01334";0,17;0,36;0,29;0,72;0,24;0,22;0,21;0,24;0,78;0,56;0,17;0,14;0,16;0,18;0,11;0,2;0,15
"sub00949";0,36;0,35;0,001;0,67;0,49;0,38;0,7;0,62;0,999;0,68;0,001;0,001;0,001;0,001;0,73;0,001;0,001
"sub01285";0,56;0,19;0,87;0,78;0,52;0,27;0,66;0,69;0,95;0,95;0,23;0,39;0,74;0,81;0,96;0,96;0,83
"sub00347";0,34;0,14;0,69;0,74;0,5;0,27;0,31;0,25;0,69;0,5;0,25;0,62;0,52;0,29;0,999;0,84;0,66
"sub01376";0,2;0,4;0,15;0,31;0,37;0,39;0,4;0,36;0,91;0,66;0,29;0,08;0,21;0,51;0,17;0,23;0,3
"sub00754";0,6;0,29;0,65;0,87;0,62;0,66;0,999;0,999;0,33;0,72;0,001;0,38;0,001;0,001;0,69;0,999;0,5
"sub01427";0,27;0,47;0,49;0,84;0,54;0,17;0,7;0,75;0,62;0,66;0,001;0,67;0,36;0,02;0,999;0,38;0,5
"sub00701";0,49;0,51;0,78;0,83;0,51;0,49;0,79;0,78;0,83;0,51;0,001;0,001;0,48;0,001;0,51;0,49;0,51
"sub00929";0,1;0,24;0,87;0,57;0,63;0,68;0,79;0,73;0,77;0,49;0,86;0,54;0,76;0,4;0,57;0,84;0,24
"sub00938";0,66;0,53;0,51;0,6;0,75;0,87;0,999;0,999;0,86;0,73;0,05;0,2;0,79;0,47;0,85;0,77;0,81
"sub00893";0,21;0,17;0,74;0,86;0,62;0,88;0,24;0,02;0,999;0,72;0,26;0,75;0,18;0,87;0,91;0,9;0,999
"sub00831";0,39;0,11;0,08;0,64;0,15;0,5;0,51;0,32;0,83;0,21;0,49;0,09;0,001;0,02;0,001;0,11;0,5
"sub01108";0,24;0,2;0,3;0,86;0,22;0,34;0,42;0,49;0,68;0,5;0,001;0,26;0,63;0,69;0,78;0,56;0,46
"sub00053";0,64;0,999;0,001;0,999;0,81;0,72;0,71;0,72;0,999;0,999;0,001;0,11;0,21;0,89;0,88;0,001;0,001
"sub01086";0,67;0,77;0,44;0,59;0,8;0,94;0,999;0,82;0,79;0,91;0,96;0,8;0,999;0,999;0,999;0,999;0,999
"sub01211";0,5;0,97;0,31;0,69;0,24;0,56;0,35;0,64;0,57;0,76;0,001;0,03;0,49;0,49;0,83;0,97;0,001
"sub01301";0,88;0,8;0,95;0,89;0,89;0,93;0,94;0,95;0,91;0,85;0,14;0,82;0,13;0,21;0,29;0,18;0,08
"sub00127";0,36;0,32;0,28;0,12;0,04;0,35;0,34;0,23;0,02;0,23;0,001;0,63;0,52;0,5;0,999;0,999;0,52
"sub00565";0,55;0,18;0,12;0,74;0,63;0,72;0,73;0,7;0,35;0,66;0,001;0,87;0,37;0,41;0,999;0,74;0,999
"sub00408";0,1;0,09;0,35;0,56;0,12;0,05;0,08;0,26;0,73;0,15;0,11;0,01;0,02;0,001;0,21;0,09;0,7
"sub00632";0,75;0,07;0,001;0,79;0,87;0,57;0,61;0,62;0,7;0,21;0,001;0,07;0,001;0,001;0,05;0,02;0,03
"sub00733";0,001;0,25;0,09;0,64;0,39;0,59;0,42;0,89;0,82;0,75;0,001;0,001;0,001;0,001;0,001;0,01;0,001
"sub00496";0,48;0,001;0,001;0,49;0,5;0,16;0,49;0,49;0,76;0,48;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00968";0,62;0,71;0,81;0,41;0,77;0,23;0,4;0,73;0,71;0,49;0,001;0,68;0,69;0,75;0,999;0,999;0,999
"sub00089";0,55;0,84;0,91;0,42;0,53;0,68;0,86;0,42;0,96;0,93;0,32;0,3;0,28;0,26;0,93;0,21;0,3
"sub01318";0,22;0,07;0,001;0,55;0,03;0,4;0,5;0,79;0,001;0,05;0,001;0,01;0,86;0,6;0,86;0,001;0,81
"sub00478";0,11;0,31;0,05;0,22;0,06;0,03;0,13;0,25;0,91;0,12;0,19;0,001;0,001;0,001;0,48;0,001;0,69
"sub00044";0,5;0,51;0,6;0,66;0,21;0,24;0,29;0,45;0,82;0,64;0,56;0,5;0,53;0,23;0,83;0,21;0,81
"sub00085";0,17;0,31;0,88;0,59;0,42;0,2;0,25;0,38;0,73;0,5;0,03;0,19;0,11;0,16;0,66;0,23;0,18
"sub01571";0,63;0,14;0,001;0,7;0,12;0,55;0,999;0,999;0,73;0,79;0,09;0,37;0,4;0,59;0,4;0,83;0,999
"sub00887";0,38;0,31;0,61;0,51;0,75;0,67;0,66;0,67;0,6;0,58;0,38;0,66;0,36;0,33;0,67;0,66;0,42
"sub01538";0,44;0,82;0,999;0,76;0,91;0,5;0,98;0,78;0,999;0,999;0,01;0,07;0,58;0,77;0,73;0,999;0,82
"sub00610";0,75;0,001;0,001;0,73;0,999;0,999;0,999;0,999;0,23;0,5;0,001;0,999;0,001;0,001;0,999;0,999;0,999
"sub00074";0,39;0,21;0,5;0,6;0,58;0,45;0,6;0,73;0,42;0,56;0,01;0,05;0,22;0,18;0,92;0,42;0,2
"sub00749";0,48;0,65;0,27;0,3;0,78;0,46;0,85;0,85;0,97;0,84;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00147";0,38;0,22;0,8;0,8;0,49;0,52;0,75;0,72;0,65;0,69;0,2;0,36;0,42;0,45;0,61;0,52;0,22
"sub01413";0,19;0,1;0,01;0,07;0,91;0,29;0,27;0,49;0,57;0,21;0,01;0,001;0,001;0,001;0,97;0,001;0,001
"sub01135";0,22;0,41;0,08;0,44;0,65;0,47;0,77;0,77;0,001;0,46;0,001;0,15;0,12;0,83;0,48;0,16;0,78
"sub00742";0,45;0,32;0,64;0,53;0,56;0,47;0,56;0,7;0,58;0,7;0,26;0,4;0,69;0,82;0,75;0,62;0,77
"sub00757";0,84;0,53;0,001;0,63;0,88;0,4;0,4;0,21;0,92;0,48;0,15;0,001;0,001;0,73;0,19;0,001;0,001
"sub01221";0,8;0,61;0,01;0,7;0,93;0,64;0,67;0,92;0,91;0,92;0,47;0,999;0,999;0,999;0,999;0,48;0,5
"sub00339";0,52;0,23;0,18;0,78;0,5;0,5;0,48;0,51;0,85;0,33;0,29;0,8;0,21;0,21;0,8;0,83;0,93
"sub00897";0,68;0,6;0,999;0,999;0,52;0,76;0,82;0,53;0,89;0,48;0,74;0,65;0,999;0,89;0,65;0,999;0,89
"sub00177";0,61;0,22;0,72;0,63;0,85;0,5;0,35;0,36;0,77;0,5;0,73;0,001;0,72;0,85;0,999;0,2;0,27
"sub01018";0,11;0,52;0,31;0,36;0,78;0,32;0,51;0,53;0,65;0,71;0,17;0,01;0,001;0,001;0,03;0,17;0,001
"sub01330";0,48;0,91;0,98;0,98;0,94;0,999;0,999;0,78;0,999;0,999;0,38;0,5;0,87;0,999;0,999;0,88;0,999
"sub01046";0,09;0,04;0,69;0,66;0,66;0,33;0,93;0,83;0,1;0,35;0,13;0,6;0,68;0,73;0,7;0,7;0,68
"sub00999";0,59;0,41;0,66;0,58;0,6;0,53;0,42;0,24;0,6;0,54;0,28;0,56;0,59;0,62;0,59;0,55;0,61
"sub01159";0,62;0,47;0,74;0,85;0,77;0,75;0,92;0,999;0,9;0,54;0,05;0,001;0,09;0,01;0,01;0,75;0,67
"sub00975";0,001;0,11;0,23;0,2;0,43;0,44;0,47;0,43;0,38;0,44;0,16;0,18;0,15;0,12;0,02;0,09;0,001
"sub00115";0,48;0,17;0,83;0,75;0,78;0,35;0,65;0,45;0,28;0,51;0,18;0,83;0,21;0,31;0,16;0,81;0,84
"sub01466";0,56;0,96;0,92;0,92;0,81;0,86;0,98;0,97;0,68;0,98;0,18;0,11;0,33;0,14;0,73;0,74;0,8
"sub00287";0,61;0,35;0,57;0,91;0,59;0,58;0,86;0,97;0,81;0,54;0,25;0,37;0,49;0,59;0,75;0,77;0,69
"sub00837";0,36;0,84;0,06;0,63;0,25;0,82;0,93;0,89;0,87;0,95;0,24;0,78;0,3;0,83;0,86;0,999;0,93
"sub00556";0,001;0,1;0,001;0,3;0,001;0,2;0,23;0,25;0,78;0,19;0,19;0,17;0,19;0,18;0,72;0,49;0,72
"sub00548";0,73;0,5;0,15;0,69;0,88;0,67;0,73;0,72;0,15;0,5;0,18;0,6;0,001;0,21;0,8;0,34;0,17
"sub00340";0,63;0,32;0,64;0,65;0,3;0,68;0,73;0,79;0,91;0,86;0,001;0,28;0,23;0,02;0,51;0,999;0,33
"sub01153";0,49;0,5;0,67;0,68;0,43;0,48;0,78;0,26;0,4;0,52;0,11;0,03;0,07;0,34;0,33;0,24;0,15
"sub01394";0,16;0,001;0,85;0,3;0,7;0,78;0,93;0,89;0,87;0,08;0,001;0,14;0,001;0,001;0,5;0,89;0,89
"sub01189";0,6;0,88;0,81;0,79;0,001;0,22;0,31;0,05;0,001;0,07;0,001;0,001;0,001;0,06;0,81;0,68;0,001
"sub00851";0,001;0,6;0,999;0,82;0,79;0,2;0,34;0,46;0,52;0,66;0,09;0,001;0,001;0,001;0,14;0,07;0,001
"sub00624";0,52;0,14;0,32;0,7;0,53;0,73;0,88;0,95;0,49;0,52;0,001;0,001;0,001;0,001;0,001;0,001;0,02
"sub00840";0,001;0,1;0,03;0,24;0,65;0,14;0,34;0,37;0,62;0,21;0,05;0,001;0,06;0,02;0,29;0,03;0,001
"sub01511";0,16;0,02;0,61;0,81;0,13;0,2;0,61;0,58;0,83;0,75;0,2;0,07;0,001;0,02;0,94;0,14;0,59
"sub00437";0,23;0,26;0,29;0,41;0,49;0,24;0,16;0,27;0,23;0,47;0,03;0,15;0,19;0,12;0,8;0,12;0,71
"sub00877";0,79;0,62;0,999;0,88;0,5;0,5;0,49;0,59;0,28;0,49;0,76;0,92;0,7;0,72;0,72;0,92;0,68
"sub00266";0,58;0,49;0,79;0,7;0,8;0,61;0,62;0,58;0,65;0,66;0,001;0,53;0,65;0,63;0,68;0,82;0,999
"sub00141";0,35;0,72;0,61;0,68;0,32;0,21;0,17;0,17;0,66;0,65;0,62;0,6;0,66;0,72;0,71;0,76;0,75
"sub01303";0,63;0,13;0,03;0,64;0,91;0,81;0,91;0,69;0,58;0,18;0,001;0,06;0,83;0,98;0,62;0,58;0,55
"sub01107";0,51;0,73;0,93;0,82;0,56;0,76;0,88;0,85;0,87;0,77;0,47;0,84;0,96;0,91;0,9;0,95;0,95
"sub00187";0,17;0,2;0,38;0,33;0,28;0,32;0,37;0,29;0,46;0,19;0,14;0,08;0,23;0,17;0,65;0,11;0,1
"sub00509";0,47;0,36;0,83;0,77;0,43;0,66;0,58;0,73;0,3;0,36;0,48;0,8;0,61;0,59;0,69;0,72;0,76
"sub01518";0,32;0,52;0,49;0,75;0,49;0,51;0,86;0,94;0,94;0,58;0,25;0,26;0,25;0,02;0,51;0,08;0,15
"sub00032";0,49;0,61;0,999;0,73;0,51;0,51;0,5;0,5;0,5;0,5;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01251";0,53;0,34;0,16;0,46;0,71;0,56;0,8;0,8;0,79;0,57;0,04;0,34;0,34;0,64;0,73;0,94;0,92
"sub00151";0,63;0,55;0,7;0,999;0,89;0,68;0,78;0,79;0,999;0,999;0,21;0,85;0,63;0,37;0,999;0,86;0,82
"sub00924";0,77;0,48;0,02;0,51;0,74;0,62;0,86;0,94;0,17;0,48;0,01;0,31;0,001;0,45;0,32;0,999;0,999
"sub00020";0,49;0,72;0,88;0,86;0,88;0,91;0,88;0,88;0,64;0,85;0,001;0,7;0,49;0,18;0,999;0,82;0,18
"sub00726";0,34;0,37;0,71;0,59;0,64;0,67;0,999;0,79;0,6;0,49;0,25;0,57;0,57;0,63;0,64;0,7;0,77
"sub01563";0,18;0,999;0,89;0,67;0,5;0,71;0,97;0,999;0,24;0,76;0,001;0,001;0,6;0,001;0,001;0,001;0,001
"sub00188";0,47;0,15;0,95;0,999;0,61;0,77;0,41;0,21;0,85;0,5;0,001;0,13;0,13;0,14;0,5;0,49;0,24
"sub00908";0,19;0,26;0,49;0,51;0,65;0,3;0,51;0,23;0,21;0,51;0,13;0,39;0,1;0,28;0,76;0,51;0,13
"sub00207";0,6;0,98;0,91;0,84;0,79;0,8;0,97;0,9;0,31;0,7;0,001;0,01;0,46;0,88;0,73;0,73;0,94
"sub01227";0,3;0,61;0,81;0,66;0,38;0,35;0,58;0,73;0,14;0,66;0,999;0,26;0,73;0,13;0,73;0,77;0,52
"sub00220";0,001;0,2;0,001;0,79;0,001;0,19;0,6;0,6;0,5;0,14;0,13;0,11;0,37;0,64;0,83;0,5;0,001
"sub01297";0,2;0,89;0,9;0,93;0,49;0,72;0,88;0,8;0,1;0,87;0,05;0,11;0,69;0,5;0,17;0,79;0,87
"sub00707";0,73;0,59;0,84;0,87;0,68;0,59;0,77;0,6;0,96;0,72;0,21;0,45;0,51;0,81;0,61;0,93;0,66
"sub00998";0,64;0,07;0,1;0,74;0,59;0,57;0,66;0,73;0,81;0,67;0,27;0,37;0,35;0,32;0,67;0,75;0,8
"sub00364";0,25;0,08;0,79;0,81;0,75;0,69;0,91;0,999;0,86;0,64;0,29;0,22;0,35;0,33;0,71;0,49;0,3
"sub00019";0,49;0,25;0,001;0,71;0,35;0,11;0,98;0,55;0,98;0,68;0,67;0,001;0,001;0,001;0,5;0,001;0,001
"sub00723";0,18;0,001;0,72;0,82;0,37;0,06;0,29;0,37;0,04;0,28;0,001;0,16;0,63;0,59;0,999;0,999;0,999
"sub00626";0,11;0,001;0,001;0,59;0,28;0,5;0,59;0,36;0,999;0,001;0,12;0,001;0,001;0,001;0,78;0,001;0,001
"sub00514";0,28;0,6;0,38;0,65;0,42;0,36;0,38;0,38;0,79;0,66;0,34;0,63;0,3;0,27;0,68;0,35;0,19
"sub01465";0,67;0,33;0,5;0,73;0,87;0,63;0,999;0,89;0,73;0,57;0,33;0,13;0,13;0,14;0,999;0,14;0,5
"sub00359";0,09;0,51;0,001;0,78;0,74;0,28;0,71;0,8;0,72;0,78;0,03;0,001;0,01;0,13;0,001;0,001;0,001
"sub01572";0,52;0,75;0,999;0,72;0,72;0,51;0,83;0,67;0,28;0,64;0,17;0,1;0,24;0,15;0,22;0,93;0,54
"sub01543";0,14;0,18;0,78;0,8;0,5;0,28;0,63;0,74;0,28;0,27;0,06;0,01;0,18;0,04;0,92;0,29;0,07
"sub00945";0,11;0,66;0,51;0,66;0,57;0,64;0,37;0,65;0,999;0,999;0,72;0,58;0,6;0,58;0,54;0,78;0,53
"sub00554";0,72;0,7;0,85;0,8;0,69;0,7;0,73;0,72;0,76;0,77;0,4;0,43;0,21;0,26;0,77;0,55;0,77
"sub00344";0,35;0,3;0,8;0,81;0,61;0,42;0,7;0,87;0,6;0,69;0,71;0,41;0,73;0,8;0,8;0,69;0,77
"sub01584";0,41;0,32;0,28;0,43;0,49;0,66;0,66;0,58;0,82;0,63;0,24;0,999;0,58;0,62;0,999;0,999;0,999
"sub00847";0,09;0,25;0,5;0,83;0,15;0,18;0,13;0,11;0,49;0,5;0,03;0,12;0,6;0,61;0,86;0,12;0,96
"sub00578";0,12;0,12;0,001;0,27;0,1;0,42;0,8;0,82;0,66;0,87;0,82;0,72;0,46;0,47;0,85;0,85;0,89
"sub00838";0,03;0,36;0,05;0,16;0,83;0,13;0,87;0,81;0,02;0,5;0,001;0,001;0,001;0,001;0,999;0,07;0,001
"sub01541";0,15;0,1;0,03;0,32;0,13;0,28;0,2;0,05;0,93;0,13;0,01;0,05;0,01;0,001;0,999;0,69;0,34
"sub00817";0,999;0,49;0,83;0,999;0,999;0,97;0,9;0,999;0,52;0,98;0,12;0,69;0,49;0,14;0,17;0,14;0,01
"sub00710";0,66;0,52;0,1;0,999;0,62;0,78;0,999;0,999;0,89;0,6;0,46;0,59;0,25;0,9;0,62;0,93;0,999
"sub00490";0,36;0,55;0,001;0,999;0,5;0,38;0,7;0,61;0,35;0,73;0,12;0,59;0,26;0,23;0,29;0,65;0,89
"sub00108";0,23;0,08;0,18;0,999;0,76;0,63;0,92;0,82;0,64;0,65;0,03;0,93;0,23;0,46;0,78;0,999;0,999
"sub00428";0,57;0,38;0,77;0,62;0,51;0,79;0,48;0,7;0,62;0,75;0,63;0,72;0,32;0,23;0,72;0,71;0,53
"sub00630";0,49;0,27;0,999;0,999;0,66;0,64;0,82;0,66;0,999;0,51;0,63;0,001;0,001;0,01;0,999;0,001;0,02
"sub01236";0,94;0,96;0,97;0,65;0,27;0,81;0,86;0,7;0,15;0,89;0,9;0,7;0,79;0,8;0,7;0,72;0,65
"sub00164";0,84;0,96;0,96;0,6;0,24;0,86;0,86;0,68;0,18;0,94;0,92;0,72;0,69;0,82;0,77;0,53;0,7
"sub01508";0,75;0,57;0,91;0,91;0,44;0,85;0,53;0,59;0,71;0,33;0,41;0,79;0,96;0,97;0,87;0,88;0,91
"sub01309";0,63;0,49;0,001;0,18;0,33;0,5;0,6;0,28;0,49;0,39;0,16;0,3;0,36;0,45;0,69;0,33;0,6
"sub01579";0,61;0,13;0,35;0,7;0,64;0,71;0,67;0,74;0,999;0,55;0,17;0,41;0,62;0,7;0,76;0,999;0,62
"sub00815";0,84;0,2;0,14;0,2;0,999;0,999;0,999;0,85;0,84;0,5;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub00717";0,22;0,14;0,56;0,69;0,39;0,33;0,37;0,39;0,49;0,19;0,89;0,1;0,02;0,03;0,74;0,26;0,05
"sub00795";0,89;0,36;0,001;0,73;0,93;0,9;0,999;0,999;0,51;0,55;0,001;0,6;0,5;0,55;0,77;0,21;0,17
"sub00798";0,44;0,76;0,91;0,96;0,19;0,67;0,5;0,63;0,83;0,64;0,78;0,84;0,5;0,25;0,93;0,92;0,84
"sub01337";0,12;0,01;0,999;0,999;0,1;0,09;0,2;0,75;0,999;0,51;0,89;0,85;0,14;0,93;0,94;0,999;0,999
"sub00853";0,96;0,73;0,82;0,999;0,98;0,89;0,98;0,96;0,66;0,68;0,29;0,999;0,27;0,999;0,52;0,999;0,91
